City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Uribia,CO,78.33,overcast clouds,11.7139,-72.266,Hotel Uribia
3,Dingle,PH,82.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
9,Tias,ES,65.95,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
10,Hualmay,PE,63.32,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
12,Rikitea,PF,74.59,moderate rain,-23.1203,-134.9692,People ThankYou
13,Saint George,US,69.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
17,Busselton,AU,66.04,overcast clouds,-33.65,115.3333,Observatory Guest House
18,Concordia,AR,75.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
20,Cape Town,ZA,61.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
21,Lazaro Cardenas,MX,78.84,clear sky,17.9583,-102.2,quinta antigua
24,Oriximina,BR,76.98,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
25,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
27,Port Alfred,ZA,65.05,broken clouds,-33.5906,26.891,The Halyards Hotel
28,Atar,MR,80.38,overcast clouds,20.5169,-13.0499,Oumou Elghoura
30,Flinders,AU,70.81,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
31,Hobart,AU,61.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
33,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
34,Hermanus,ZA,59.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Sabang,ID,79.59,moderate rain,5.8933,95.3214,Hotel Citra
42,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
45,Chuy,UY,64.24,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
46,Sibolga,ID,80.37,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
47,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
51,Geraldton,AU,72.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
52,Arraial Do Cabo,BR,70.68,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Christchurch,NZ,71.8,clear sky,-43.5333,172.6333,The George
55,Ribeira Grande,PT,70.86,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
57,East London,ZA,62.33,few clouds,-33.0153,27.9116,Tu Casa
60,Ahipara,NZ,62.56,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
61,Castro,BR,59.76,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
64,Camopi,GF,72.95,overcast clouds,3.1655,-52.3158,La pousada
66,Ballina,AU,71.64,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
69,New Norfolk,AU,60.75,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Juripiranga,BR,78.19,few clouds,-7.3733,-35.2381,Casa de Pedro Hugo Machado
72,Mar Del Plata,AR,57.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
74,Ocho Rios,JM,82.15,overcast clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
75,Puerto Ayora,EC,70.65,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Bredasdorp,ZA,59.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
78,Wembley,AU,73.17,clear sky,-31.9333,115.8,Quest on Rheola
79,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
81,Butaritari,KI,82.49,clear sky,3.0707,172.7902,Isles Sunset Lodge
83,Coahuayana,MX,77.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
84,Bethel,US,57.67,mist,41.3712,-73.414,Courtyard by Marriott Danbury
85,Nemuro,JP,55.83,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
86,Dangriga,BZ,75.97,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
87,Bethlehem,BR,78.84,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
90,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
93,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Dzaoudzi,YT,76.89,few clouds,-12.7887,45.2699,Le Rocher
95,Lompoc,US,60.57,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
96,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
98,Chiredzi,ZW,68.94,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
100,Pacific Grove,US,61.43,overcast clouds,36.6177,-121.9166,Lovers Point Inn
104,Plettenberg Bay,ZA,59.18,broken clouds,-34.0527,23.3716,Thanda Vista B&B
105,San Patricio,US,71.44,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
