City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,2021-10-31 02:26:26,-46.6,168.3333,49.51,76,100,28.23,overcast clouds
1,Uribia,CO,2021-10-31 02:26:26,11.7139,-72.266,78.33,83,100,5.41,overcast clouds
2,Nalut,LY,2021-10-31 02:26:26,30.3333,10.85,65.52,40,29,4.5,scattered clouds
3,Dingle,PH,2021-10-31 02:26:26,10.9995,122.6711,82.63,78,81,15.41,broken clouds
4,Whitehorse,CA,2021-10-31 02:26:27,60.7161,-135.0538,36.37,69,75,13.0,broken clouds
5,Savonlinna,FI,2021-10-31 02:26:27,61.8699,28.88,44.65,87,90,6.91,overcast clouds
6,Paamiut,GL,2021-10-31 02:23:19,61.994,-49.6678,32.52,84,100,9.19,overcast clouds
7,Punta Arenas,CL,2021-10-31 02:22:23,-53.15,-70.9167,42.91,70,0,4.61,clear sky
8,Eggenfelden,DE,2021-10-31 02:26:28,48.4054,12.7626,47.82,97,99,2.64,overcast clouds
9,Tias,ES,2021-10-31 02:26:28,28.9611,-13.645,65.95,82,0,10.36,clear sky
10,Hualmay,PE,2021-10-31 02:26:28,-11.0964,-77.6139,63.32,82,96,7.4,overcast clouds
11,Ushuaia,AR,2021-10-31 02:22:35,-54.8,-68.3,46.06,53,0,13.8,clear sky
12,Rikitea,PF,2021-10-31 02:26:28,-23.1203,-134.9692,74.59,87,100,21.83,moderate rain
13,Saint George,US,2021-10-31 02:22:37,37.1041,-113.5841,69.35,47,1,1.01,clear sky
14,Yeppoon,AU,2021-10-31 02:26:29,-23.1333,150.7333,89.38,57,59,11.56,broken clouds
15,Lebu,CL,2021-10-31 02:26:29,-37.6167,-73.65,51.49,89,100,10.85,overcast clouds
16,Padang,ID,2021-10-31 02:26:30,-0.9492,100.3543,78.85,81,99,1.43,overcast clouds
17,Busselton,AU,2021-10-31 02:26:30,-33.65,115.3333,66.04,63,97,3.49,overcast clouds
18,Concordia,AR,2021-10-31 02:26:30,-31.393,-58.0209,75.78,64,0,1.99,clear sky
19,Birao,CF,2021-10-31 02:26:30,10.2849,22.7882,73.31,33,100,2.3,overcast clouds
20,Cape Town,ZA,2021-10-31 02:23:04,-33.9258,18.4232,61.09,88,0,1.01,clear sky
21,Lazaro Cardenas,MX,2021-10-31 02:26:31,17.9583,-102.2,78.84,81,7,2.28,clear sky
22,Maningrida,AU,2021-10-31 02:26:31,-12.0667,134.2667,92.48,49,35,9.48,scattered clouds
23,Leshukonskoye,RU,2021-10-31 02:26:31,64.8989,45.7622,34.0,99,100,5.66,snow
24,Oriximina,BR,2021-10-31 02:26:32,-1.7656,-55.8661,76.98,80,97,3.85,overcast clouds
25,Hilo,US,2021-10-31 02:23:27,19.7297,-155.09,80.33,78,75,8.05,broken clouds
26,Luanda,AO,2021-10-31 02:25:41,-8.8368,13.2343,75.2,83,75,8.05,broken clouds
27,Port Alfred,ZA,2021-10-31 02:26:10,-33.5906,26.891,65.05,79,73,3.47,broken clouds
