City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-10-30 04:04:03,-9.8,-139.0333,78.06,67,5,11.03
1,Tiksi,RU,2021-10-30 04:04:03,71.6872,128.8694,-2.47,98,97,7.56
2,Rikitea,PF,2021-10-30 04:04:03,-23.1203,-134.9692,75.24,82,99,16.11
3,Abbeville,FR,2021-10-30 04:04:03,50.1,1.8333,56.5,92,95,15.82
4,Yuryevets,RU,2021-10-30 04:04:04,57.3201,43.1041,43.68,91,100,14.74
5,Elmadag,TR,2021-10-30 04:04:04,39.9208,33.2308,38.34,88,0,5.64
6,Boone,US,2021-10-30 03:59:57,39.0334,-92.3335,51.4,95,97,5.01
7,Tshikapa,CD,2021-10-30 04:04:04,-6.4167,20.8,68.25,98,100,1.7
8,Mataura,NZ,2021-10-30 04:04:05,-46.1927,168.8643,74.32,39,78,4.18
9,Antalaha,MG,2021-10-30 04:04:05,-14.9003,50.2788,74.35,82,100,5.97
10,Ushuaia,AR,2021-10-30 04:01:40,-54.8,-68.3,33.53,84,14,4.14
11,Busselton,AU,2021-10-30 04:04:06,-33.65,115.3333,63.55,51,6,6.85
12,Mar Del Plata,AR,2021-10-30 04:00:30,-38.0023,-57.5575,61.88,96,13,20.0
13,Westport,US,2021-10-30 04:04:06,41.1415,-73.3579,55.8,92,90,14.0
14,Carnarvon,AU,2021-10-30 04:04:06,-24.8667,113.6333,77.07,50,0,23.02
15,Avarua,CK,2021-10-30 04:04:07,-21.2078,-159.775,75.25,64,90,10.36
16,Bluff,NZ,2021-10-30 04:01:09,-46.6,168.3333,62.94,68,95,5.06
17,Butaritari,KI,2021-10-30 04:04:07,3.0707,172.7902,82.92,70,5,15.77
18,Henties Bay,NA,2021-10-30 04:04:07,-22.116,14.2845,55.85,89,0,3.53
19,Yellowknife,CA,2021-10-30 04:04:08,62.456,-114.3525,32.41,94,90,11.5
20,San Patricio,US,2021-10-30 04:04:08,28.017,-97.5169,71.83,29,0,7.2
21,Chyhyryn,UA,2021-10-30 04:04:08,49.0838,32.6555,42.69,79,2,5.93
22,Georgetown,MY,2021-10-30 04:04:08,5.4112,100.3354,88.9,75,40,1.99
23,Yulara,AU,2021-10-30 04:04:09,-25.2406,130.9889,64.24,55,90,13.8
24,Gazojak,TM,2021-10-30 04:04:09,41.1875,61.4036,46.99,53,0,6.89
25,Samarinda,ID,2021-10-30 04:04:09,-0.5,117.15,76.23,96,100,1.92
26,Angoche,MZ,2021-10-30 04:04:10,-16.2325,39.9086,73.0,66,1,6.29
27,Helena,US,2021-10-30 04:01:35,46.5927,-112.0361,51.42,63,90,1.99
28,New Norfolk,AU,2021-10-30 04:04:10,-42.7826,147.0587,58.91,45,57,5.01
29,Tuktoyaktuk,CA,2021-10-30 04:04:10,69.4541,-133.0374,25.32,97,100,3.67
30,Baykit,RU,2021-10-30 04:04:11,61.67,96.37,31.15,93,100,7.14
31,Leningradskiy,RU,2021-10-30 04:04:11,69.3833,178.4167,-12.1,94,21,5.01
32,Vaini,TO,2021-10-30 04:04:12,-21.2,-175.2,75.36,88,75,5.75
33,Luba,GQ,2021-10-30 04:04:12,3.4568,8.5547,79.2,85,97,3.15
34,Shaowu,CN,2021-10-30 04:04:12,27.3409,117.4831,71.55,66,87,1.41
35,Konya,TR,2021-10-30 04:04:13,38.1667,32.5,38.68,83,1,2.44
36,Hilo,US,2021-10-30 04:04:13,19.7297,-155.09,76.73,79,40,4.61
37,Hambantota,LK,2021-10-30 04:04:13,6.1241,81.1185,82.74,89,40,4.61
38,Narsaq,GL,2021-10-30 04:04:13,60.9167,-46.05,25.02,80,68,4.38
39,Srednekolymsk,RU,2021-10-30 04:04:14,67.45,153.6833,3.16,96,100,4.81
40,Kendari,ID,2021-10-30 04:04:14,-3.945,122.4989,86.22,68,77,4.03
41,Albany,US,2021-10-30 04:01:40,42.6001,-73.9662,47.08,79,80,3.0
42,Khatanga,RU,2021-10-30 04:04:15,71.9667,102.5,6.82,88,100,6.67
43,Torbay,CA,2021-10-30 04:04:15,47.6666,-52.7314,39.58,94,100,5.01
44,Seymchan,RU,2021-10-30 04:04:15,62.8833,152.4333,16.16,86,100,3.98
